time,lat,long,throttle
81.7,44.4925045,-79.18060599,41.55
81.75,44.49251088,-79.18061056,43.903
81.8,44.49251713,-79.18061558,46.253
81.85,44.49252327,-79.18062102,46.5722
81.9,44.49252915,-79.18062684,47.1871
81.95,44.49253478,-79.18063301,49.3376
82,44.49254012,-79.18063962,51.5289
82.05,44.49254519,-79.18064663,53.8067
82.1,44.49254997,-79.18065392,56.0844
82.15,44.49255448,-79.18066146,58.3622
82.2,44.49255871,-79.18066922,60.2505
82.25,44.49256268,-79.18067716,61.9874
82.3,44.49256629,-79.18068549,62.9979
82.35,44.49256956,-79.18069416,63.8489
82.4,44.49257259,-79.18070297,64.0567
82.45,44.49257541,-79.18071192,64.2856
82.5,44.49257792,-79.18072105,64.8967
82.55,44.49258016,-79.18073036,65.6022
82.6,44.49258198,-79.18073975,66.4911
82.65,44.4925834,-79.18074922,68.46
82.7,44.49258448,-79.18075884,71.3489
82.75,44.49258526,-79.1807686,74.8956
82.8,44.49258575,-79.18077851,78.6733
82.85,44.49258597,-79.18078856,87.8822
82.9,44.49258586,-79.18079859,96.1778
82.95,44.49258544,-79.18080861,96.7333
83,44.49258462,-79.18081877,97.1189
83.05,44.49258342,-79.18082905,97.1744
83.1,44.49258185,-79.18083923,97.2
83.15,44.49257992,-79.18084929,97.2
83.2,44.49257772,-79.18085941,97.1619
83.25,44.49257526,-79.18086958,97.1103
83.3,44.49257265,-79.18087978,97.1
83.35,44.49256991,-79.18089001,97.1
83.4,44.49256718,-79.18090041,97.1
83.45,44.49256447,-79.18091095,96.5556
83.5,44.49256188,-79.1809216,92.6667
83.55,44.49255942,-79.18093234,89.1367
83.6,44.49255723,-79.18094327,86.3033
83.65,44.49255531,-79.18095437,84.91
83.7,44.49255368,-79.18096555,84.7433
83.75,44.49255232,-79.18097679,84.9878
83.8,44.49255125,-79.18098813,85.3767
83.85,44.49255045,-79.18099955,83.1227
83.9,44.49255,-79.18101098,80.7
83.95,44.49254988,-79.18102242,80.5925
84,44.49255004,-79.18103385,80.8967
84.05,44.49255046,-79.18104529,83.73
84.1,44.49255115,-79.18105673,87.7911
84.15,44.49255209,-79.18106818,94.2356
84.2,44.4925535,-79.1810795,97.2
84.25,44.49255534,-79.18109071,97.2
84.3,44.49255745,-79.18110189,97.2
84.35,44.4925598,-79.18111303,97.2
84.4,44.49256242,-79.18112412,97.2522
84.45,44.49256527,-79.18113518,97.3078
84.5,44.49256841,-79.18114618,97.3633
84.55,44.4925718,-79.18115713,97.4
84.6,44.49257546,-79.18116802,97.4
84.65,44.49257935,-79.18117883,97.4
84.7,44.49258355,-79.1811895,97.4
84.75,44.49258802,-79.18120003,97.4
84.8,44.49259276,-79.18121046,97.4
84.85,44.49259773,-79.1812208,97.4
84.9,44.49260285,-79.18123101,97.4
84.95,44.49260812,-79.1812411,97.4
85,44.49261362,-79.18125117,97.4
85.05,44.49261934,-79.18126121,97.4
85.1,44.49262523,-79.1812711,97.4
85.15,44.4926313,-79.18128082,97.4
85.2,44.49263759,-79.18129041,97.4
85.25,44.49264408,-79.18129988,97.4
85.3,44.49265078,-79.18130908,97.4522
85.35,44.49265768,-79.18131803,97.5
85.4,44.49266469,-79.18132701,97.5
85.45,44.49267181,-79.18133601,97.5
85.5,44.49267911,-79.18134488,97.5
85.55,44.49268656,-79.18135362,97.5
85.6,44.49269417,-79.18136214,97.5
85.65,44.49270193,-79.18137046,97.5
85.7,44.49270978,-79.18137864,97.5
85.75,44.49271771,-79.18138669,97.5
85.8,44.4927258,-79.1813947,97.5
85.85,44.49273405,-79.18140268,97.5
85.9,44.49274235,-79.18141061,97.5
85.95,44.49275072,-79.18141851,97.5
86,44.49275914,-79.18142643,97.5
86.05,44.4927676,-79.18143437,97.5
86.1,44.49277606,-79.18144228,97.5
86.15,44.49278452,-79.18145016,97.5
86.2,44.49279306,-79.1814582,97.5
86.25,44.49280168,-79.18146637,97.5
86.3,44.49281028,-79.1814746,97.5
86.35,44.49281888,-79.18148289,97.5
86.4,44.49282746,-79.18149119,97.5
86.45,44.49283602,-79.18149951,97.5
86.5,44.49284462,-79.18150796,97.5
86.55,44.49285324,-79.18151654,97.5
86.6,44.4928619,-79.18152511,97.5
86.65,44.49287058,-79.18153368,97.5
86.7,44.49287931,-79.18154239,97.5
86.75,44.49288809,-79.18155123,97.5
86.8,44.49289678,-79.18156017,97.5189
86.85,44.49290538,-79.1815692,97.5744
86.9,44.49291398,-79.18157837,97.57
86.95,44.49292257,-79.18158767,97.5144
87,44.49293114,-79.18159707,97.5411
87.05,44.49293969,-79.18160656,97.5967
87.1,44.49294822,-79.1816162,97.5478
87.15,44.49295673,-79.18162599,97.5
87.2,44.49296525,-79.18163583,97.5
87.25,44.49297378,-79.18164573,97.5189
87.3,44.49298231,-79.18165567,97.5744
87.35,44.49299084,-79.18166564,97.6
87.4,44.49299935,-79.18167574,97.6
87.45,44.49300784,-79.18168598,97.5589
87.5,44.49301624,-79.18169634,97.5033
87.55,44.49302457,-79.18170683,97.5
87.6,44.49303284,-79.18171749,97.5078
87.65,44.49304107,-79.18172831,97.5633
87.7,44.49304923,-79.18173926,97.6
87.75,44.49305732,-79.18175035,97.6
87.8,44.4930653,-79.18176166,97.6
87.85,44.49307318,-79.18177317,97.6
87.9,44.49308097,-79.18178474,97.6411
87.95,44.4930887,-79.18179637,97.6967
88,44.49309637,-79.18180821,97.7
88.05,44.49310397,-79.18182023,96.6656
88.1,44.4931115,-79.18183235,89.2767
88.15,44.49311896,-79.18184455,78.0533
88.2,44.49312635,-79.18185688,59.3867
88.25,44.49313367,-79.1818693,48.37
88.3,44.49314078,-79.1818819,43.87
88.35,44.49314768,-79.18189464,40.48
88.4,44.4931544,-79.18190739,37.48
88.45,44.49316095,-79.18192014,34.8978
88.5,44.49316717,-79.18193291,32.8633
88.55,44.49317308,-79.1819457,34.03
88.6,44.49317868,-79.18195856,34.7622
88.65,44.493184,-79.18197147,34.6511
88.7,44.49318903,-79.18198436,32.2
88.75,44.49319379,-79.18199721,27.7556
88.8,44.49319824,-79.18201011,27.71
88.85,44.4932024,-79.18202306,29.21
88.9,44.49320609,-79.18203612,32.59
88.95,44.49320934,-79.18204929,35.8256
89,44.49321206,-79.18206247,37.4367
89.05,44.49321429,-79.18207565,38.8778
89.1,44.49321623,-79.18208883,39.9889
89.15,44.49321791,-79.18210202,42.24
89.2,44.49321915,-79.1821151,45.4622
89.25,44.49321998,-79.18212811,47.2456
89.3,44.49322035,-79.18214105,48.5233
89.35,44.4932203,-79.18215393,51.7333
89.4,44.49321989,-79.18216669,54.5689
89.45,44.49321914,-79.18217935,54.3467
89.5,44.49321838,-79.18219198,54.2567
89.55,44.4932176,-79.18220459,54.4233
89.6,44.4932166,-79.18221724,54.89
89.65,44.49321541,-79.18222994,55.6122
89.7,44.49321391,-79.18224254,55.8411
89.75,44.49321213,-79.18225505,55.8967
89.8,44.49321012,-79.18226747,56.1089
89.85,44.49320789,-79.18227981,56.3933
89.9,44.49320534,-79.18229199,57.06
89.95,44.49320248,-79.18230403,58.3311
90,44.49319947,-79.182316,60.7756
90.05,44.49319631,-79.18232789,67.24
90.1,44.49319283,-79.18233962,77.1289
90.15,44.49318906,-79.18235119,80.44
90.2,44.49318499,-79.18236261,81.44
90.25,44.49318065,-79.1823739,81.4478
90.3,44.49317609,-79.18238504,82.2011
90.35,44.49317133,-79.18239603,87.9233
90.4,44.49316635,-79.18240689,92.7578
90.45,44.49316115,-79.18241762,95.8689
90.5,44.49315566,-79.18242812,97.33
90.55,44.49314991,-79.18243842,97.3856
90.6,44.49314394,-79.18244857,97.4
90.65,44.49313777,-79.18245859,97.4
90.7,44.49313148,-79.18246849,97.4522
90.75,44.49312507,-79.18247828,97.5
90.8,44.49311834,-79.18248773,97.5
90.85,44.49311132,-79.18249689,97.5
90.9,44.49310411,-79.18250582,97.5
90.95,44.49309673,-79.18251455,97.5
91,44.49308922,-79.18252316,97.5
91.05,44.49308159,-79.18253166,97.5
91.1,44.49307377,-79.18254004,97.5
91.15,44.49306577,-79.18254829,97.5
91.2,44.4930576,-79.18255624,97.5
91.25,44.49304928,-79.1825639,97.5
91.3,44.49304078,-79.18257122,97.5
91.35,44.49303211,-79.18257824,97.5
91.4,44.49302328,-79.182585,97.5
91.45,44.49301431,-79.18259152,97.5
91.5,44.49300522,-79.18259787,97.5
91.55,44.49299603,-79.18260407,97.5
91.6,44.49298669,-79.18261003,97.5
91.65,44.49297723,-79.18261578,97.5
91.7,44.49296775,-79.18262153,97.5
91.75,44.49295825,-79.18262727,97.5
91.8,44.49294864,-79.18263288,97.5
91.85,44.49293893,-79.18263839,97.5
91.9,44.49292911,-79.18264364,97.5
91.95,44.49291919,-79.18264866,97.5
92,44.4929092,-79.18265345,97.5
92.05,44.49289914,-79.18265802,97.5
92.1,44.49288893,-79.18266237,97.5
92.15,44.49287857,-79.18266651,97.5
92.2,44.49286819,-79.1826704,97.5
92.25,44.49285778,-79.18267405,97.5
92.3,44.49284729,-79.18267745,97.5
92.35,44.49283671,-79.18268061,97.5
92.4,44.4928261,-79.18268365,97.5
92.45,44.49281547,-79.18268657,97.5
92.5,44.49280479,-79.18268936,97.5
92.55,44.49279407,-79.18269203,97.5
92.6,44.49278328,-79.18269456,97.5
92.65,44.49277244,-79.18269696,97.5189
92.7,44.49276157,-79.18269927,97.5744
92.75,44.49275068,-79.1827015,95.17
92.8,44.49273967,-79.18270355,90.67
92.85,44.49272855,-79.18270543,66.9711
92.9,44.49271746,-79.18270716,36.5267
92.95,44.49270641,-79.18270873,34.6478
93,44.49269554,-79.18271013,34.8256
93.05,44.49268485,-79.18271139,36.4367
93.1,44.49267436,-79.18271255,37.5
93.15,44.49266406,-79.18271363,37.5
93.2,44.49265384,-79.18271461,37.8
93.25,44.49264368,-79.1827155,38.3556
93.3,44.49263371,-79.18271621,38.2122
93.35,44.49262391,-79.18271676,37.8233
93.4,44.49261425,-79.18271711,38.3222
93.45,44.49260474,-79.18271727,38.3178
93.5,44.49259527,-79.18271732,34.8733
93.55,44.49258586,-79.18271726,33.1856
93.6,44.49257667,-79.18271701,34.9078
93.65,44.49256767,-79.18271658,35.13
93.7,44.49255873,-79.18271605,34.0744
93.75,44.49254984,-79.18271543,34.0467
