time,lat,long,throttle
53.2,44.49253515,-79.18271071,31.96
53.25,44.49252602,-79.18270919,32.1467
53.3,44.49251703,-79.18270742,32.2911
53.35,44.49250817,-79.18270541,32.18
53.4,44.49249949,-79.18270304,32.1
53.45,44.49249098,-79.18270035,32.1
53.5,44.49248261,-79.18269734,32.2333
53.55,44.49247437,-79.18269406,32.5111
53.6,44.4924663,-79.18269037,32.5622
53.65,44.4924584,-79.18268631,32.5067
53.7,44.49245065,-79.182682,32.3044
53.75,44.49244302,-79.18267745,32.0911
53.8,44.49243562,-79.18267265,31.98
53.85,44.49242843,-79.18266762,32.0244
53.9,44.49242146,-79.18266227,32.4689
53.95,44.49241469,-79.18265663,33.0733
54.0,44.49240813,-79.18265074,33.8511
54.05,44.49240177,-79.18264461,33.9867
54.1,44.49239558,-79.18263828,33.82
54.15,44.49238957,-79.18263177,33.7022
54.2,44.49238372,-79.18262496,33.6
54.25,44.49237804,-79.18261789,33.6
54.3,44.4923725,-79.18261062,33.5689
54.35,44.4923671,-79.18260316,33.4578
54.4,44.49236194,-79.1825956,33.3467
54.45,44.492357,-79.18258793,33.2356
54.5,44.49235231,-79.18258009,33.1622
54.55,44.49234785,-79.1825721,33.1067
54.6,44.49234364,-79.18256394,33.0022
54.65,44.49233967,-79.18255562,32.94
54.7,44.49233592,-79.18254708,33.44
54.75,44.49233239,-79.18253835,33.7533
54.8,44.4923291,-79.18252953,33.5867
54.85,44.49232603,-79.18252064,33.3133
54.9,44.49232322,-79.18251164,32.9244
54.95,44.49232065,-79.18250253,32.8378
55.0,44.49231828,-79.18249334,32.8933
55.05,44.49231611,-79.18248408,32.9
55.1,44.49231429,-79.1824747,32.9133
55.15,44.49231281,-79.1824652,33.08
55.2,44.4923115,-79.18245569,33.4022
55.25,44.49231036,-79.18244617,34.1244
55.3,44.49230947,-79.1824366,31.3533
55.35,44.49230881,-79.182427,24.7978
55.4,44.49230836,-79.18241743,18.3556
55.45,44.49230812,-79.18240789,11.9667
55.5,44.49230813,-79.18239834,10.5156
55.55,44.49230837,-79.18238879,9.92
55.6,44.49230885,-79.18237931,11.42
55.65,44.49230956,-79.18236991,12.6556
55.7,44.49231049,-79.18236067,13.2111
55.75,44.49231164,-79.18235157,13.6333
55.8,44.49231312,-79.18234253,13.9111
55.85,44.49231489,-79.18233356,14.2644
55.9,44.49231683,-79.18232479,14.6533
55.95,44.49231893,-79.18231622,18.0244
56.0,44.49232135,-79.18230786,21.7489
56.05,44.49232407,-79.18229971,24.86
56.1,44.49232703,-79.18229184,28.0178
56.15,44.49233022,-79.18228421,31.2956
56.2,44.49233363,-79.18227689,33.2933
56.25,44.49233726,-79.18226987,33.9044
56.3,44.49234119,-79.18226326,34.984
56.35,44.49234541,-79.18225704,36.284
56.4,44.49234979,-79.18225107,38.1733
56.45,44.49235431,-79.18224536,40.34
56.5,44.49235904,-79.18224,42.1644
56.55,44.49236395,-79.18223499,43.9644
56.6,44.49236903,-79.18223033,46.02
56.65,44.49237427,-79.182226,48.5733
56.7,44.49237962,-79.18222208,52.4067
56.75,44.49238509,-79.18221853,59.12
56.8,44.49239075,-79.18221532,68.9533
56.85,44.49239657,-79.18221241,76.3311
56.9,44.49240244,-79.18220991,82.5533
